,Name,Category,Calories,Fat,Carbs,restaurant
0,Original Bacon Double Cheeseburger,Burgers,760,45,45,A&W Restaurants
1,Coney (Chili) Dog,Entrees,340,20,20,A&W Restaurants
2,Chili Fries,French Fries,370,15,15,A&W Restaurants
3,Strawberry Milkshake (small),Shakes,670,29,29,A&W Restaurants
4,A&W® Root Beer Freeze (large),Shakes,820,18,18,A&W Restaurants
5,Caramel Sundae,Desserts,340,9,9,A&W Restaurants
6,Strawberry Banana Smoothee,Shakes,420,6,6,A&W Restaurants
7,Chocolate Fudge Blendrrr,Desserts,1010,59,59,A&W Restaurants
8,Strawberry Limeade,Drinks,420,0,0,A&W Restaurants
9,Watermelon Slushee,Drinks,270,0,0,A&W Restaurants
10,Lime Slushee,Drinks,480,0,0,A&W Restaurants
11,A&W® Root Beer,Drinks,880,0,0,A&W Restaurants
12,Cheeseburger,Burgers,420,21,21,A&W Restaurants
13,French Fries (Regular),French Fries,310,12,12,A&W Restaurants
14,Cheese Curds (Large),Sides,1140,80,80,A&W Restaurants
15,Chocolate Milkshake (small),Shakes,700,29,29,A&W Restaurants
16,Orange Freeze (small),Shakes,450,8,8,A&W Restaurants
17,A&W® Diet Root Beer Float (small),Shakes,170,5,5,A&W Restaurants
18,Strawberry Smoothee,Shakes,610,10,10,A&W Restaurants
19,Limeade,Drinks,140,0,0,A&W Restaurants
20,Cherry Limeade,Drinks,340,0,0,A&W Restaurants
21,Lemon Slushee,Drinks,330,0,0,A&W Restaurants
22,Blue Raspberry Slushee,Drinks,570,0,0,A&W Restaurants
23,A&W® Diet Root Beer,Drinks,0,0,0,A&W Restaurants
24,Grilled Chicken Sandwich,Chicken,400,15,15,A&W Restaurants
25,French Fries (Large),French Fries,430,17,17,A&W Restaurants
26,Chili,Sides,190,6,6,A&W Restaurants
27,Chocolate Milkshake (medium),Shakes,880,36,36,A&W Restaurants
28,Orange Freeze (medium),Shakes,600,10,10,A&W Restaurants
29,A&W® Diet Root Beer Float (medium),Shakes,170,5,5,A&W Restaurants
30,Orange Float (large),Shakes,610,9,9,A&W Restaurants
31,Reese's® Peanut Butter Fudge Blendrrr,Desserts,700,41,41,A&W Restaurants
32,Limeade,Drinks,210,0,0,A&W Restaurants
33,Cherry Limeade,Drinks,530,0,0,A&W Restaurants
34,Lemon Slushee,Drinks,440,0,0,A&W Restaurants
35,Blue Raspberry Slushee,Drinks,740,0,0,A&W Restaurants
36,A&W® Diet Root Beer,Drinks,0,0,0,A&W Restaurants
37,Original Double Cheeseburger,Burgers,680,38,38,A&W Restaurants
38,Coney (Chili) Cheese Dog,Entrees,380,23,23,A&W Restaurants
39,Breaded Onion Rings (Regular),Sides,350,16,16,A&W Restaurants
40,Strawberry Milkshake (medium),Shakes,840,36,36,A&W Restaurants
41,A&W® Diet Root Beer Freeze (small),Shakes,260,8,8,A&W Restaurants
42,A&W® Root Beer Float (small),Shakes,330,5,5,A&W Restaurants
43,Strawberry Banana Smoothee,Shakes,680,10,10,A&W Restaurants
44,Oreo® Cookies & Cream Blendrrr,Desserts,340,12,12,A&W Restaurants
45,Strawberry Limeade,Drinks,560,0,0,A&W Restaurants
46,Watermelon Slushee,Drinks,360,0,0,A&W Restaurants
47,Lime Slushee,Drinks,770,0,0,A&W Restaurants
48,A&W® Root Beer,Drinks,1760,0,0,A&W Restaurants
49,Papa Single Burger,Burgers,470,25,25,A&W Restaurants
50,Hot Dog (plain),Entrees,310,19,19,A&W Restaurants
51,Cheese Fries,French Fries,390,18,18,A&W Restaurants
52,Reese's® Polar Swirl®,Desserts,740,31,31,A&W Restaurants
53,A&W® Root Beer Freeze (medium),Shakes,480,10,10,A&W Restaurants
54,Hot Fudge Sundae,Desserts,350,11,11,A&W Restaurants
55,Strawberry Banana Smoothee,Shakes,390,6,6,A&W Restaurants
56,Chocolate Fudge Blendrrr,Desserts,560,32,32,A&W Restaurants
57,Strawberry Limeade,Drinks,290,0,0,A&W Restaurants
58,Cherry Slushee,Drinks,900,0,0,A&W Restaurants
59,Lime Slushee,Drinks,380,0,0,A&W Restaurants
60,A&W® Root Beer,Drinks,440,0,0,A&W Restaurants
61,Original Bacon Cheeseburger ,Burgers,530,30,30,A&W Restaurants
