School Name,Location
Abilene Christian University,"Abilene, TX"
Adelphi College,"Garden City, NY"
Alabama A & M,"Huntsville, AL"
Alabama State University,"Montgomery, AL"
Albion College,"Albion, MI"
Alfred University,"Alfred, NY"
Alma College,"Alma, MI"
Amherst College,"Amherst, MA"
Anderson University,"Anderson, IN"
Arcadia University,"Glenside, PA"
Arizona State University,"Tempe, AZ"
Auburn University ,"Auburn, AL"
Austin Peay State University,"Clarksville, TN"
Babson University,"Wellesley, MA"
Barnard College,"New York, NY"
Barry University,"Miami, FL"
Baylor University,"Waco, TX"
Beloit College,"Beloit, WI"
Berry College,"Mount Berry, GA"
Bethany College,"Bethany, WV"
Binghamton University,"Binghamton, NY"
Bismarck State College,"Bismarck, ND"
Bluefield State College,"Bluefield, WV"
Boston College,"Chestnut Hill, MA"
Boston University,"Boston, MA"
Brigham Young University,"Provo, UT"
Brown University,"Providence, RI"
Bucknell University,"Lewisburg, PA"
Butler University,"Indianapolis, IN"
Caldwell University,"Caldwell, NJ"
California Institute of Technology,"Pasadena, CA"
California Polytechnic State University (Cal Poly),"San Luis Obispo, CA"
Canisius College,"Buffalo, NY"
Carleton College,"Carleton, MN"
Carnegie Mellon University,"Pittsburgh, PA"
Carroll University,"Waukesha, WI"
Case Western Reserve University,"Cleveland, OH"
Central College,"Pella, IA"
Central Michigan University,"Mount Pleasant, MI"
Centre College,"Danville, KY"
Chapman University,"Orange, CA"
Claremont McKenna College,"Claremont, CA"
Clemson University,"Clemson, SC"
Cleveland State College,"Cleveland, TN"
Colgate University,"Hamilton, NY"
College of William and Mary,"Williamsburg, VA"
Colorado School of Mines,"Golden, CO"
Colorado State University,"Fort Collins, CO"
Columbia University,"New York, NY"
Concordia University Texas,"Austin, TX"
Cooper Union,"New York, NY"
Cornell University,"Ithaca, NY"
Cottey College,"Nevada, MO"
Covenant College,"Lookout Mountain, GA"
Creighton University,"Omaha, NE"
Dartmouth College,"Hanover, NH"
Davidson College,"Davidson, NC"
Drexel University,"Philadelphia, PA"
Drury University,"Springfield, MO"
Duke University,"Durham, NC"
East Carolina University,"Greenville, NC"
Elizabethtown College,"Elizabethtown, PA"
Elon University,"Elon, NC"
Emory University,"Atlanta, GA"
Fairmont State University,"Fairmont, WV"
Fordham University,"Bronx, NY"
Franklin College,"Franklin, IN"
Gonzaga University,"Spokane, WA"
Grand Valley State University,"Allendale, MI"
Grinnell College,"Grinnell, IA"
Hamilton College,"Clinton, NY"
Hardin-Simmons University,"Abilene, TX"
Harvard College,"Cambridge, MA"
Harvey Mudd College,"Claremont, CA"
Haverford College,"Haverford, PA"
Hawaii Pacific University,"Kaneohe, HI"
Holy Cross College,"Notre Dame, IN"
Husson University,"Bangor, ME"
Indiana University Bloomington,"Bloomington, IN"
Indiana University East,"Richmond, IN"
Indiana University Kokomo,"Kokomo, IN"
Indiana University Northwest,"Gary, IN"
Indiana University Southeast,"New Albany, IN"
Indiana Wesleyan University,"Marion, IN"
Iowa Wesleyan University,"Mt. Pleasant, IA"
Jackson State University,"Jackson, MS"
John Carroll University,"University Heights, Ohio"
Johns Hopkins University,"Baltimore, MD"
Kent State University,"Kent, OH"
Kenyon College,"Gambier, OH"
Kutztown University,"Kutztown, PA"
Lamar University,"Beaumont, TX"
Lehigh University,"Bethlehem, PA"
Limestone College,"Gaffney, SC"
Lincoln Memorial University,"Harrogate, TN"
List College—Jewish Theological Seminary,"New York, NY"
Lock Haven University,"Lock Haven, PA"
Longwood University,"Farmville, VA"
Loyola University New Orleans,"New Orleans, LA"
Lycoming College,"Williamsport, PA"
Macalester College,"Saint Paul, MN"
Maine Maritime Academy,"Castine, ME"
Malone University,"Canton, OH"
Mansfield University,"Mansfield, PA"
Massachusetts Institute of Technology (MIT) ,"Cambridge, MA"
Massachusetts Maritime Academy,"Buzzards Bay, MA"
Marymount Manhattan College,"New York City, NY"
Miami University (Ohio),"Miami, Ohio"
Michigan State University,"East Lansing, MI"
Middlebury College,"Middlebury, VT"
Midway University,"Midway, KY"
Millersville University,"Millersville, PA"
Millikin University,"Decatur, IL"
"Minnesota State University, Moorhead","Moorhead, MN"
Mississippi College,"Clinton, MS"
