Institution,State,Type,Number of Students,% of Score Senders
California State University Mentor,CA,Public College,56986,34%
University of California: Irvine,CA,Public College,28343,17%
University of California: Los Angeles,CA,Public College,27641,16%
California State University: Long Beach,CA,Public College,24161,14%
San Diego State University,CA,Public College,23033,14%
University of California: Davis,CA,Public College,21147,13%
University of California: Berkeley,CA,Public College,20379,12%
University of California: Santa Barbara,CA,Public College,20344,12%
University of California: San Diego,CA,Public College,19306,12%
California State University: Fullerton,CA,Public College,19301,12%
University of Southern California,CA,Private College,16224,10%
University of California: Riverside,CA,Public College,16024,10%
California Polytechnic State Univ San Luis Obispo,CA,Public College,15781,9%
University of California: Santa Cruz,CA,Public College,15439,9%
San Francisco State University,CA,Public College,14634,9%
California State University: Los Angeles,CA,Public College,13947,8%
California State Polytechnic University: Pomona,CA,Public College,13570,8%
San Jose State University,CA,Public College,13104,8%
California State University: Northridge,CA,Public College,12831,8%
California State University: Sacramento,CA,Public College,11863,7%
Stanford University,CA,Private College,11090,7%
California State University: Chico,CA,Public College,9934,6%
California State University: Fresno,CA,Public College,9531,6%
University of California: Merced,CA,Public College,8828,5%
University of San Diego,CA,Private College,8111,5%
California State University: San Marcos,CA,Public College,7877,5%
California State University: San Bernardino,CA,Public College,7659,5%
California State University: East Bay,CA,Public College,6872,4%
University of Washington,WA,Public College,6443,4%
Sonoma State University,CA,Public College,6255,4%
California State University: Dominguez Hills,CA,Public College,6245,4%
California State University: Monterey Bay,CA,Public College,6216,4%
NCAA Eligibility Center,IN,Public College,6118,4%
Loyola Marymount University,CA,Private College,5938,4%
University of Oregon,OR,Public College,5705,3%
University of San Francisco,CA,Private College,5487,3%
University of the Pacific,CA,Private College,5247,3%
Chapman University,CA,Private College,5155,3%
New York University,NY,Private College,5104,3%
Santa Clara University,CA,Private College,4909,3%
Pepperdine University,CA,Private College,4803,3%
Azusa Pacific University,CA,Private College,4590,3%
Humboldt State University,CA,Public College,4544,3%
Arizona State University,AZ,Public College,4501,3%
California State University: Channel Islands,CA,Public College,4320,3%
