Intended College Major,Test Takers,Percent,Total,"Mean Score
ERW",Math
"Agriculture, Agriculture Operations, and Related Sciences",16961,0.01,1003,508,495
Architecture and Related Services,20416,0.01,1056,524,531
"Area, Ethnic, Cultural, and Gender Studies",1729,0,1084,561,523
Biological and Biomedical Sciences,107303,0.07,1132,571,561
"Business, Management, Marketing, and Related Support Servic..",166852,0.11,1072,536,537
"Communication, Journalism, and Related Programs",30152,0.02,1071,552,519
Computer and Information Sciences and Support Services,55537,0.04,1143,568,575
Military Technologies,7300,0,986,498,488
"Construction Trades, General",988,0,958,479,479
Education,56648,0.04,1032,525,507
Engineering,156083,0.11,1140,560,580
Engineering Technologies/Technicians,24345,0.02,1047,516,532
English Language and Literature/Letters,14736,0.01,1124,591,533
Family and Consumer Sciences/Human Sciences,4254,0,969,493,476
"Foreign Languages and Literatures, General",7324,0,1116,575,541
Health Professions and Related Clinical Sciences,277727,0.19,1045,529,516
"History, General",10570,0.01,1086,562,524
"Legal Studies, General",29134,0.02,1084,555,530
"Liberal Arts and Sciences, General Studies and Humanities",7923,0.01,1116,575,541
Library Science/Librarianship,199,0,1118,585,533
Mathematics and Statistics,10747,0.01,1228,592,636
Mechanic and Repair Technologies/Technicians,3328,0,937,466,470
Multi/Interdisciplinary Studies,2497,0,1160,586,575
Natural Resources and Conservation,8249,0.01,1095,558,537
"Parks, Recreation and Leisure Studies",12618,0.01,966,484,482
"Personal And Culinary Services, General",5591,0,953,485,468
Philosophy and Religious Studies,2852,0,1102,566,535
Physical Sciences,21419,0.01,1186,591,595
Precision Production,125,0,975,488,486
"Psychology, General",64154,0.04,1055,542,513
Public Administration and Social Service Professions,6332,0,996,511,485
Security and Protective Services,55279,0.04,973,493,480
Social Sciences,27269,0.02,1146,588,559
Theology and Religious Vocations,1981,0,1104,568,535
Transportation and Materials Moving,631,0,1025,513,512
"Visual and Performing Arts, General",106004,0.07,1046,537,509
Other,26227,0.02,963,487,476
Undecided,116250,0.08,1073,542,531
