State,(% of students taking the SAT),# of Test Takers,EBRW,Math,Total
Alabama,-3%,"1,706",591,568,1159
Alaska,-23%,"1,842",567,553,1119
Arizona,-11%,"9,010",592,589,1181
Arkansas,-2%,792,610,584,1194
California,-24%,"116,394",527,530,1057
Colorado,-56%,"34,952",544,528,1072
Connecticut,-69%,"30,487",545,527,1072
Delaware,-96%,"10,289",499,485,984
District of Columbia,-90%,"4,117",500,487,987
Florida,-81%,"172,869",513,480,993
Georgia,-41%,"49,170",551,534,1086
Hawaii,-26%,"3,848",572,572,1144
Idaho,-90%,"19,211",502,483,985
Illinois,-80%,"119,086",508,498,1007
Indiana,-43%,"32,671",551,544,1095
Iowa,-2%,625,623,620,1243
Kansas,-2%,"1,080",616,623,1219
Kentucky,-4%,"1,853",609,603,1207
Louisiana,-3%,"1,409",605,583,1188
Maine,-29%,"4,177",558,541,1099
Maryland,-47%,"33,457",542,531,1073
Massachusetts,-34%,"27,255",591,593,1184
Michigan,-68%,"71,935",523,508,1031
Minnesota,-2%,"1,709",626,636,1263
Mississippi,-1%,423,612,589,1202
Missouri,-2%,"1,796",614,606,1219
Montana,-5%,489,618,607,1225
Nebraska,-2%,379,625,620,1246
Nevada,-4%,"1,295",596,598,1195
New Hampshire,-71%,"11,050",540,526,1065
New Jersey,-48%,"54,415",562,563,1125
New Mexico,-30%,"6,270",508,488,996
New York,-55%,"116,219",526,531,1057
North Carolina,-23%,"26,520",578,571,1150
North Dakota,-1%,96,631,628,1258
Ohio,-15%,"19,639",525,523,1048
Oklahoma,-6%,"2,631",535,507,1042
Oregon,-17%,"7,176",565,554,1119
Pennsylvania,-39%,"56,934",566,557,1123
Puerto Rico,not provided,"2,383",511,483,994
Rhode Island,-68%,"7,833",514,497,1011
South Carolina,-48%,"25,595",529,507,1036
South Dakota,-1%,139,605,610,1215
Tennessee,-4%,"2,625",618,602,1220
Texas,-59%,"225,685",505,498,1003
Utah,-1%,654,621,617,1238
Vermont,-41%,"2,633",571,553,1124
Virginia,-41%,"38,927",584,567,1151
"Virgin Islands, US",not provided,478,484,435,920
Washington,-27%,"19,979",537,535,1072
West Virginia,-45%,"8,073",520,487,1007
Wisconsin,-1%,874,604,611,1215
Wyoming,-2%,99,626,607,1233
