,id,lot_front,lot_area,overall_qual,age,remod_age,exter_qual,bsmt_qual,heating_qc,total_bsmt_sf,1st_flr_sf,gr_liv_area,kitchen_qual,garage_finish,fireplace_qu,total_bsmt_sf_class,neighborhood_class,gr_liv_area_class,sale_price,garage_area,bsmtfin_sf1,tot_rms_abv_grd
0,109,69.05520046484602,13517,6,34,5,4,3,5,725.0,725,1479,4,2,0,0,0,0,130500.0,475.0,533.0,6
1,544,43.0,11492,7,13,12,4,4,5,913.0,913,2122,4,2,3,0,0,0,220000.0,559.0,637.0,8
2,153,68.0,7922,5,57,3,3,3,3,1057.0,1057,1057,4,1,0,0,0,0,109000.0,246.0,731.0,5
3,318,73.0,9802,5,4,3,3,4,4,384.0,744,1444,3,3,0,0,0,0,174000.0,400.0,0.0,7
4,255,82.0,14235,6,110,17,3,2,3,676.0,831,1445,3,1,0,0,0,0,138500.0,484.0,0.0,6
5,138,137.0,16492,6,44,8,4,3,5,1517.0,1888,1888,4,3,4,0,0,0,190000.0,578.0,247.0,6
6,2827,35.0,3675,6,1,0,3,4,4,547.0,1072,1072,3,3,0,0,0,0,140000.0,525.0,547.0,5
7,145,69.05520046484602,12160,5,51,51,3,3,2,1188.0,1188,1188,3,2,0,0,0,0,142000.0,531.0,1000.0,6
8,1942,69.05520046484602,15783,5,55,55,3,3,3,924.0,924,924,3,1,0,0,0,0,112500.0,420.0,292.0,6
9,1956,70.0,11606,5,38,38,3,4,3,1040.0,1040,2080,2,1,3,0,0,0,135000.0,504.0,650.0,9
10,1044,21.0,1680,6,37,37,3,3,3,483.0,483,987,3,1,0,0,0,0,85400.0,264.0,387.0,4
11,2752,64.0,7488,7,1,1,4,4,5,1208.0,1208,1208,4,2,0,0,0,0,183600.0,632.0,393.0,6
12,807,120.0,26400,5,129,2,4,0,5,0.0,1288,2016,3,1,3,0,0,0,131000.0,576.0,0.0,7
13,1177,24.0,2645,8,9,8,4,4,5,960.0,962,1607,4,1,0,0,0,0,200000.0,480.0,813.0,7
14,1480,74.0,9627,7,1,1,4,4,5,1351.0,1361,1361,4,2,0,0,0,0,193000.0,610.0,24.0,6
15,324,93.0,10114,5,6,5,3,5,5,1430.0,1430,1430,4,2,0,0,0,0,173500.0,624.0,0.0,7
16,1311,34.0,4571,5,92,58,3,3,2,624.0,624,1344,3,1,0,0,0,0,98000.0,513.0,0.0,7
17,770,80.0,8816,5,46,46,3,3,3,1121.0,1121,1121,3,1,0,0,0,0,139000.0,480.0,651.0,5
18,2063,71.0,8197,6,30,30,3,3,5,660.0,1285,1285,3,2,3,0,0,0,143500.0,528.0,0.0,7
19,69,72.0,8640,7,1,1,3,4,5,756.0,764,1547,4,1,0,0,0,0,215200.0,614.0,24.0,7
20,2062,109.0,8724,5,39,39,3,4,4,894.0,894,894,3,3,1,0,0,0,129000.0,450.0,492.0,5
21,351,40.0,5664,8,9,9,4,4,5,1501.0,1659,1659,5,3,5,0,1,0,278000.0,499.0,1158.0,5
22,2393,103.0,12867,8,1,0,4,5,5,1209.0,1209,2253,5,3,4,0,1,0,344133.0,575.0,0.0,8
23,12,69.05520046484602,7980,6,18,3,3,4,5,1168.0,1187,1187,3,3,0,0,0,0,185000.0,420.0,935.0,6
24,2339,100.0,34650,5,51,51,3,3,3,1056.0,1056,1056,3,3,0,0,0,0,145000.0,572.0,1056.0,5
25,624,92.0,10573,6,48,48,3,3,5,1453.0,1453,1453,3,2,3,0,0,0,187500.0,530.0,1312.0,6
26,86,65.0,8450,5,45,1,3,3,5,894.0,894,894,3,1,4,0,0,0,138500.0,336.0,553.0,5
27,1534,69.05520046484602,11700,5,71,13,3,3,5,942.0,1265,1938,4,1,4,0,0,0,198000.0,240.0,606.0,7
28,2243,75.0,8250,5,112,1,3,3,2,957.0,1034,1991,3,0,0,0,0,0,119600.0,0.0,0.0,9
29,1957,60.0,8064,5,58,1,3,3,5,672.0,672,924,3,1,1,0,0,0,122900.0,576.0,0.0,6
30,380,80.0,9600,8,28,28,4,4,3,2524.0,2524,2524,4,3,4,1,0,0,278000.0,542.0,1104.0,9
31,2860,69.05520046484602,11435,8,77,56,3,4,2,792.0,792,1517,4,1,4,0,0,0,230000.0,400.0,0.0,7
32,2517,30.0,9549,8,11,10,4,4,5,1494.0,1494,1494,5,3,4,0,0,0,270000.0,481.0,437.0,6
33,1933,60.0,10950,6,55,55,3,3,3,948.0,948,948,3,1,0,0,0,0,125000.0,410.0,441.0,5
34,820,79.0,10637,8,2,1,4,5,5,1705.0,1718,1718,4,2,4,1,0,0,297000.0,826.0,1288.0,7
35,675,80.0,9000,6,51,51,3,4,2,160.0,1142,1142,3,2,4,0,0,0,113500.0,384.0,0.0,5
36,2910,41.0,2665,5,29,29,3,3,5,757.0,925,1475,3,2,3,0,0,0,127000.0,336.0,548.0,6
37,21,105.0,11751,6,33,33,3,4,5,1844.0,1844,1844,3,2,3,1,0,0,190000.0,546.0,705.0,7
38,1873,80.0,9600,7,34,34,3,3,2,1242.0,1242,1242,3,1,3,0,0,0,175500.0,528.0,916.0,6
39,2125,60.0,8428,5,13,13,3,4,5,990.0,990,990,3,1,0,0,0,0,146000.0,384.0,420.0,5
40,1489,75.0,9937,5,43,43,4,3,4,1256.0,1256,1256,3,3,0,0,0,0,147500.0,276.0,830.0,6
41,2383,107.0,13891,10,0,0,5,5,5,2076.0,2076,2076,5,3,4,1,1,0,465000.0,850.0,1386.0,7
42,983,69.05520046484602,9101,5,31,31,3,4,5,1097.0,1110,1110,4,3,3,0,0,0,165500.0,602.0,1097.0,4
43,1325,81.0,12150,5,54,54,3,3,5,1050.0,1050,1795,3,1,0,0,0,0,131500.0,352.0,0.0,7
44,1378,70.0,11200,5,43,43,3,3,5,1040.0,1040,1040,3,1,0,0,0,0,129500.0,384.0,906.0,5
45,1537,100.0,9670,8,73,58,3,3,3,608.0,983,1873,3,3,4,0,0,0,257076.0,786.0,210.0,9
46,905,60.0,10998,5,68,49,3,3,5,984.0,984,1604,3,1,0,0,0,0,117000.0,660.0,408.0,6
47,1532,60.0,7200,7,77,8,3,4,3,776.0,851,1502,3,2,4,0,0,0,149000.0,270.0,0.0,6
48,132,80.0,9920,5,56,56,3,3,3,1056.0,1063,1063,3,2,0,0,0,0,128000.0,280.0,354.0,6
49,1078,36.0,2448,7,5,4,4,4,5,764.0,764,1626,4,2,0,0,1,0,155000.0,474.0,0.0,6
