,index,id,pid,ms_subclass,ms_zoning,lot_front,lot_area,street,alley,lot_shape,land_contour,util,lot_config,land_slope,neighborhood,cond_1,cond_2,bldg_type,house_style,overall_qual,overall_cond,age,remod_age,roof_style,roof_matl,ext_1st,ext_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type1,bsmtfin_sf1,bsmt_type2,bsmt_sf2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_abv_gr,kitchen_qual,tot_rms_abv_grd,functional,fireplace,fireplace_qu,garage_type,garage_finish,garag_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,sale_type,sale_price,gr_liv_area_class,sale_price_classified,total_bsmt_sf_class,neighborhood_class
0,0,109,533352170,60,RL,69.05520046484602,13517,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,34,5,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,Ex,Y,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,Gd,6,Typ,0,NoFireplace,Attchd,RFn,2.0,475.0,TA,TA,Y,0,44,0,0,0,0,0,3,WD ,130500.0,0,0,0,0
1,1,544,531379050,60,RL,43.0,11492,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,13,12,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,Ex,Y,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,RFn,2.0,559.0,TA,TA,Y,0,74,0,0,0,0,0,4,WD ,220000.0,0,0,0,0
2,2,153,535304180,20,RL,68.0,7922,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,57,3,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,TA,Y,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,Gd,5,Typ,0,NoFireplace,Detchd,Unf,1.0,246.0,TA,TA,Y,0,52,0,0,0,0,0,1,WD ,109000.0,0,0,0,0
3,3,318,916386060,60,RL,73.0,9802,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,4,3,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,TA,7,Typ,0,NoFireplace,BuiltIn,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,0,4,WD ,174000.0,0,0,0,0
4,4,255,906425045,50,RL,82.0,14235,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,110,17,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,TA,Y,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,TA,6,Typ,0,NoFireplace,Detchd,Unf,2.0,484.0,TA,TA,N,0,59,0,0,0,0,0,3,WD ,138500.0,0,0,0,0
5,5,138,535126040,20,RL,137.0,16492,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,44,8,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,Ex,Y,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,Fin,2.0,578.0,TA,TA,Y,0,0,0,0,0,0,0,6,WD ,190000.0,0,0,0,0
6,6,2827,908186070,180,RM,35.0,3675,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,1,0,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,TA,5,Typ,0,NoFireplace,Basment,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,0,6,New,140000.0,0,0,0,0
7,7,145,535154050,20,RL,69.05520046484602,12160,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,51,51,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,Fa,Y,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,TA,6,Typ,0,NoFireplace,Attchd,RFn,2.0,531.0,TA,TA,Y,0,0,0,0,0,0,0,5,COD,142000.0,0,0,0,0
8,8,1942,535353130,20,RL,69.05520046484602,15783,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,55,55,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,TA,Y,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,TA,6,Typ,0,NoFireplace,Detchd,Unf,1.0,420.0,TA,TA,Y,0,324,0,0,0,0,400,6,WD ,112500.0,0,0,0,0
9,9,1956,535426130,60,RL,70.0,11606,Pave,NoAlley,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,38,38,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,TA,Y,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,Fa,9,Typ,2,TA,Attchd,Unf,2.0,504.0,TA,TA,Y,335,0,0,0,0,0,0,9,WD ,135000.0,0,0,0,0
